source_state,target_state,indicator,lead_quarters,correlation,observations
IA,VT,coincident,1,-0.5533066252084511,39
MI,KY,coincident,1,-0.553246288673872,39
OH,MS,coincident,1,-0.5529918215138174,39
IA,PA,coincident,1,-0.5529187182945106,39
MN,TN,coincident,1,-0.552900835409038,39
GA,ME,coincident,1,-0.5527595740031018,39
ND,ME,coincident,1,-0.5527567111323315,39
UT,ID,coincident,1,-0.5523467338891841,39
CA,IN,coincident,1,-0.5522062447521389,39
NJ,OH,coincident,1,-0.5519378120330037,39
NC,MO,coincident,1,-0.5519284093429961,39
MN,VT,coincident,1,-0.5517505749036496,39
NM,AL,coincident,1,-0.5516350186811425,39
WI,MO,coincident,1,-0.5516118031421521,39
AR,RI,coincident,1,-0.5515245940197917,39
NC,VT,coincident,1,-0.5513068451860453,39
OR,MT,coincident,1,-0.5512801602683363,39
NJ,ID,coincident,1,-0.551211617276003,39
MA,PA,coincident,1,-0.5511272068685568,39
MA,WI,coincident,1,-0.550300148305467,39
FL,AR,coincident,1,-0.5502469591287975,39
SC,ID,coincident,1,-0.5501929142062301,39
MA,TN,coincident,1,-0.5501011721024253,39
ND,WV,coincident,1,-0.5499062782638655,39
OK,WV,coincident,1,-0.5495605055627584,39
NY,NJ,coincident,1,-0.5490306129811975,39
OR,WI,coincident,1,-0.5489881592653323,39
VT,IN,coincident,1,-0.5489083011960479,39
NH,OH,coincident,1,-0.5486578132116893,39
KS,WI,coincident,1,-0.5485220844040654,39
ID,WI,coincident,1,-0.5484856066775667,39
OR,MO,coincident,1,-0.5484289094360627,39
ID,VT,coincident,1,-0.5482444410757594,39
GA,AZ,coincident,1,-0.548224998088707,39
NY,FL,coincident,1,-0.548119026291724,39
TN,NC,coincident,1,-0.5477051018869619,39
MD,NJ,coincident,1,-0.5475756019629197,39
OH,AR,coincident,1,-0.5475006572297545,39
MI,SC,coincident,1,-0.547461610339435,39
ND,MO,coincident,1,-0.5469424438521954,39
SD,WI,coincident,1,-0.5467823959026079,39
MD,MT,coincident,1,-0.5467104829094444,39
NH,NC,coincident,1,-0.5465946838573494,39
NJ,WV,coincident,1,-0.5465445558586026,39
ID,PA,coincident,1,-0.5464799771233002,39
GA,VT,coincident,1,-0.5461523154539479,39
LA,TN,coincident,1,-0.546135293582131,39
LA,WI,coincident,1,-0.5457122592837425,39
RI,PA,coincident,1,-0.5456964501307761,39
SC,SC,coincident,1,-0.5455915191353798,39
IA,FL,coincident,1,-0.5455618100971329,39
OK,VT,coincident,1,-0.5455514246778087,39
FL,ID,coincident,1,-0.5454566637249878,39
VA,WI,coincident,1,-0.5448454549798204,39
MN,WI,coincident,1,-0.5442216764691145,39
RI,WI,coincident,1,-0.5441951981665534,39
ND,PA,coincident,1,-0.5440070536858312,39
ME,OH,coincident,1,-0.5438189499621103,39
MS,SC,coincident,1,-0.5433848565897342,39
MN,PA,coincident,1,-0.5432975024142486,39
OK,PA,coincident,1,-0.5432100103241676,39
OR,PA,coincident,1,-0.5429904647177832,39
CO,VT,coincident,1,-0.5427372079363098,39
NC,MT,coincident,1,-0.5426876794930693,39
GA,MT,coincident,1,-0.5426228878895447,39
RI,NC,coincident,1,-0.5423026218035564,39
OK,WI,coincident,1,-0.5420439566184881,39
PA,VT,coincident,1,-0.5419413086845262,39
PA,PA,coincident,1,-0.5416290698205615,39
KS,MO,coincident,1,-0.5414225128007706,39
VA,TN,coincident,1,-0.541055131236334,39
NC,AZ,coincident,1,-0.5407855959821665,39
ID,TN,coincident,1,-0.5406437837479002,39
PA,WI,coincident,1,-0.5401521513682375,39
TX,WA,coincident,1,-0.5398906431007612,39
MT,CA,coincident,1,-0.5397844447489497,39
VA,VT,coincident,1,-0.5395480472975039,39
NJ,TN,coincident,1,-0.5395432866918134,39
NM,OH,coincident,1,-0.5394713121471472,39
NM,IN,coincident,1,-0.5389867548509215,39
FL,OH,coincident,1,-0.5389638514383154,39
TN,VT,coincident,1,-0.5386409210498492,39
VT,ID,coincident,1,-0.5384051849985894,39
AR,NH,coincident,1,-0.5383950895530655,39
IN,KY,coincident,1,-0.5383849391966209,39
VA,MO,coincident,1,-0.5380241601838489,39
SC,IN,coincident,1,-0.5379549323347925,39
CA,ID,coincident,1,-0.537939685963519,39
MA,MO,coincident,1,-0.5378689407032738,39
WI,ME,coincident,1,-0.5376344513857222,39
MO,WV,coincident,1,-0.5374991160743979,39
IN,WA,coincident,1,-0.5372940659119348,39
IN,SC,coincident,1,-0.5367634030424752,39
LA,NC,coincident,1,-0.5366472790547082,39
UT,AR,coincident,1,-0.5365706125513404,39
MT,NH,coincident,1,-0.5365546359521857,39
AR,FL,coincident,1,-0.5364242994315747,39
MD,FL,coincident,1,-0.5363488162669531,39
IA,MO,coincident,1,-0.5363327263054042,39
CA,OH,coincident,1,-0.5361065314417184,39
OK,MO,coincident,1,-0.536043590593615,39
PA,MO,coincident,1,-0.5358836611760034,39
MD,IA,coincident,1,-0.5358814669184759,39
NY,RI,coincident,1,-0.5358392332178125,39
ND,VT,coincident,1,-0.5357824425381564,39
MD,NH,coincident,1,-0.535679610496616,39
NJ,VT,coincident,1,-0.5354578700188433,39
NC,ME,coincident,1,-0.5354038976934795,39
